id;benutzer;kategorie;prio;sachbearbeiter;datum;titel
1;benutzer128;Anderes Tool;1;supporter5;11.08.2011 16:16;Query - Klassenliste
2;supporter5;Anderes Tool;2;supporter5;12.08.2011 12:30;Hochkommas im Leistungsbericht
3;supporter5;Absenztool;3;supporter5;12.08.2011 12:39;Versch. Änderungen gemäss P. Biedermann
4;supporter5;Anderes Tool;3;supporter5;12.08.2011 12:43;AIO-Datenimport, Scjhüler mit falschen Lehrmeistern
5;supporter5;Anderes Tool;3;supporter5;12.08.2011 12:49;Schüleraccounts: Synch starten und Prüfen
6;supporter5;Helpdesktool;3;supporter5;12.08.2011 12:53;Version 1 für 2011/2012
7;benutzer22;Drucker;1;supporter2;14.08.2011 20:57;Drucker in Zimmer 101
8;benutzer171;Anderes Tool;3;supporter5;15.08.2011 15:22;BSCW Zugang
9;benutzer128;Anderes Tool;1;supporter5;16.08.2011 08:54;Klassenlisten
10;benutzer128;Notenool;1;supporter5;16.08.2011 08:58;Semester
11;benutzer128;Anderes Tool;1;supporter5;16.08.2011 09:03;Berechtigung
12;benutzer79;Drucker;3;supporter12;16.08.2011 13:03;Drucker einrichten
13;benutzer79;Lokales Netzwerk;3;supporter2;16.08.2011 13:11;Zugriff auf LW R ist nicht möglich
14;benutzer180;Lokales Netzwerk;2;supporter2;16.08.2011 13:26;einloggen nicht möglich
15;benutzer79;Lokales Netzwerk;3;supporter2;16.08.2011 16:00;Zugriff auf LW R ist nicht möglich
16;benutzer140;Internet;2;supporter2;16.08.2011 17:52;http://sites.google.com/site/kve11wg2/
17;benutzer140;Internet;2;supporter2;16.08.2011 17:55;Nachtrag zum vorigen Call
18;benutzer116;Drucker;2;supporter2;17.08.2011 08:34;Drucker GISO_015_P1 funktioniert nicht
20;benutzer151;PC-Programm;3;supporter2;17.08.2011 09:33;pc zi 311 / windows 7
21;supporter2;Personalcomputer;2;supporter12;17.08.2011 09:50;PC im Zimmer 003
22;benutzer172;Personalcomputer;2;supporter12;17.08.2011 10:45;Zimmer 012
23;supporter14;Personalcomputer;1;supporter12;17.08.2011 11:00;Beamer Zi006
24;supporter14;Mail;2;bruno.peyer;17.08.2011 11:04;SPAM
25;benutzer148;Personalcomputer;3;supporter12;17.08.2011 17:24;Lehrer-PC, Pavillon, Zimmer: P18
26;benutzer139;Personalcomputer;2;patrick.schlaepfer;18.08.2011 08:19;PC6 im Zimmer 008 
27;benutzer111;Drucker;3;supporter2;18.08.2011 09:53;Standard Duplexdruck
28;benutzer111;PC-Programm;2;supporter2;18.08.2011 09:56;Internet
29;supporter16;Lokales Netzwerk;3;supporter2;18.08.2011 13:52;Kein Zugriff auf Laufwerk Verwaltung
30;benutzer128;Mail;2;supporter2;18.08.2011 13:54;Berechtigung Zimmerreservationen EBZ
31;supporter2;Personalcomputer;1;supporter2;18.08.2011 13:55;BBZ GR PC im Zimmer 304 
32;supporter12;PC-Programm;1;supporter12;18.08.2011 14:21;Installation Zi 012
33;supporter7;Drucker;2;supporter12;18.08.2011 16:14;Drcker GISO_P19_P1
34;benutzer135;PC-Programm;3;supporter2;18.08.2011 16:39;Fehlende Software (Vizualizer Zi 202)
35;benutzer203;PC-Programm;2;supporter2;19.08.2011 10:26;Druckerverbindung
36;benutzer128;Mail;1;supporter2;19.08.2011 15:20;EBZ Personal schulen - Zimmerreservation
37;benutzer128;Anderes Tool;1;supporter5;22.08.2011 07:57;Spalte Bemerkungen
38;benutzer212;Personalcomputer;3;supporter12;22.08.2011 15:51;PC im Zimmer 302
39;benutzer128;Lokales Netzwerk;1;supporter2;22.08.2011 15:56;wireless
40;supporter2;Personalcomputer;1;supporter2;23.08.2011 11:41;BBZ Grenchen Zi306
41;benutzer172;Windows;1;supporter12;23.08.2011 13:50;Zimmer 012
42;benutzer180;PC-Programm;2;supporter12;23.08.2011 14:03;Pavillon
43;supporter2;Helpdesktool;1;supporter5;23.08.2011 14:17;Kann Anhänge nicht öffnen
44;bruno.peyer;Helpdesktool;1;supporter5;23.08.2011 14:36;Zuteilung
46;bruno.peyer;Helpdesktool;1;supporter5;23.08.2011 15:03;Helpdesk-Account für Carloine.Dagli
47;supporter2;PC-Programm;1;supporter2;24.08.2011 14:28;Vision KBS Solothurn
48;supporter2;Personalcomputer;2;supporter2;24.08.2011 14:29;Zeitzentrum Maschinenraum
49;supporter2;Lokales Netzwerk;1;supporter2;24.08.2011 15:03;Schüleraccounts 2011 eröffnen (BBZ Gr)
50;benutzer91;Lokales Netzwerk;2;bruno.peyer;24.08.2011 16:47;CIS
51;supporter12;Lokales Netzwerk;1;supporter12;25.08.2011 06:38;Neue Netzwerkdosen im Zi 107
52;supporter16;Mail;2;bruno.peyer;25.08.2011 07:25;Kalender-Freigabe schulübergreifend
53;benutzer128;Anderes Tool;1;supporter5;25.08.2011 07:30;Einsicht Allemann Thomas
54;supporter2;Notenool;1;supporter5;25.08.2011 13:57;Regula Buob kann sich nicht anmelden
55;supporter15;Anderes Tool;3;supporter5;25.08.2011 15:41;offene Calls
56;supporter16;Notenool;2;supporter5;26.08.2011 06:19;Zugriff im Notentool
